jméno,strana,pravda,nepravda,zavádějící,neověřitelné,míra nepravdivosti
Alexandra Udženija,ODS,17,6,6,3,0.1875
Andrej Babiš,ANO 2011,229,78,73,115,0.15757575757575756
Bohuslav Sobotka,ČSSD,426,44,39,43,0.07971014492753623
Bohuslav Svoboda,ODS,19,6,5,6,0.16666666666666666
Daniel Herman,KDU-ČSL,14,0,1,2,0.0
David Rath,ČSSD,14,11,7,8,0.275
Dita Charanzová,ANO 2011,10,1,1,4,0.0625
Eliška Wagnerová,Nez.,13,2,0,1,0.125
František Bublan,ČSSD,8,3,0,5,0.1875
Helena Langšádlová,TOP 09,14,1,1,2,0.05555555555555555
Ivan Bartoš,Piráti,37,5,5,2,0.10204081632653061
Jan Bartošek,KDU-ČSL,18,1,2,6,0.037037037037037035
Jan Fischer,Nez.,24,2,1,4,0.06451612903225806
Jan Kubice,Nez.,16,2,1,13,0.0625
Jan Mládek,ČSSD,27,4,4,6,0.0975609756097561
Jan Zahradil,ODS,50,3,6,2,0.04918032786885246
Jana Bobošíková,Hlavu vzhůru,34,8,7,9,0.13793103448275862
Jana Černochová,ODS,7,4,3,2,0.25
Jaromír Drábek,TOP 09,55,13,5,16,0.14606741573033707
Jaroslav Faltýnek,ANO 2011,46,24,10,11,0.26373626373626374
Jaroslav Kubera,ODS,20,7,6,4,0.1891891891891892
Jeroným Tejc,ČSSD,37,6,6,9,0.10344827586206896
Jiří Běhounek,ČSSD,12,3,1,4,0.15
Jiří Dienstbier,ČSSD,96,8,6,8,0.06779661016949153
Jiří Dolejš,KSČM,15,1,1,0,0.058823529411764705
Jiří Paroubek,LEV21,11,2,3,2,0.1111111111111111
Jiří Pospíšil,TOP 09,74,15,13,18,0.125
Jiří Rusnok,Nez.,49,4,1,7,0.06557377049180328
Jiří Zimola,ČSSD,13,5,4,5,0.18518518518518517
Jiří Čunek,KDU-ČSL,15,2,0,1,0.1111111111111111
Karel Schwarzenberg,TOP 09,125,7,8,17,0.044585987261146494
Karla Šlechtová,ANO 2011,24,4,2,4,0.11764705882352941
Karolína Peake,LIDEM,40,5,3,6,0.09259259259259259
Kateřina Konečná,KSČM,26,11,10,6,0.20754716981132076
Kateřina Valachová,ČSSD,26,6,3,9,0.13636363636363635
Leoš Heger,TOP 09,46,6,3,18,0.0821917808219178
Lubomír Franc,ČSSD,8,1,1,5,0.06666666666666667
Lubomír Zaorálek,ČSSD,118,19,12,28,0.10734463276836158
Ludmila Müllerová,TOP 09,22,3,1,4,0.1
Luděk Niedermayer,TOP 09,30,2,4,2,0.05263157894736842
Marian Jurečka,KDU-ČSL,57,2,6,19,0.023809523809523808
Marta Semelová,KSČM,10,2,2,1,0.13333333333333333
Martin Komárek,ANO 2011,11,2,1,1,0.13333333333333333
Martin Konvička,Nez.,5,6,4,4,0.3157894736842105
Martin Kuba,ODS,23,4,1,7,0.11428571428571428
Martin Pecina,Nez.,35,5,4,7,0.09803921568627451
Martin Půta,SLK,19,2,1,4,0.07692307692307693
Martin Schulz,Nez.,22,4,3,5,0.11764705882352941
Martin Stropnický,ANO 2011,60,5,7,17,0.056179775280898875
Matěj Stropnický,SZ,18,3,4,2,0.1111111111111111
Michaela Marksová,ČSSD,22,1,1,6,0.03333333333333333
Michal Hašek,ČSSD,48,9,12,15,0.10714285714285714
Milan Chovanec,ČSSD,91,24,18,27,0.15
Milan Štěch,ČSSD,26,2,2,3,0.06060606060606061
Miloslav Ransdorf,KSČM,18,11,1,9,0.28205128205128205
Miloš Zeman,SPO,233,86,38,54,0.20924574209245742
Miroslav Kalousek,TOP 09,253,60,31,64,0.14705882352941177
Miroslav Novák,ČSSD,30,4,3,8,0.08888888888888889
Miroslava Němcová,ODS,53,7,8,10,0.08974358974358974
Nigel Farage,UKIP,14,1,5,3,0.043478260869565216
Oldřich Vlasák,ODS,33,8,1,3,0.17777777777777778
Ondřej Liška,SZ,26,3,2,8,0.07692307692307693
Pavel Blažek,ODS,44,8,8,8,0.11764705882352941
Pavel Bělobrádek,KDU-ČSL,78,7,5,21,0.06306306306306306
Pavel Dobeš,LIDEM,10,1,1,6,0.05555555555555555
Pavel Kováčik,KSČM,24,8,7,6,0.17777777777777778
Pavel Telička,ANO 2011,18,3,1,3,0.12
Petr Bendl,ODS,24,3,4,10,0.07317073170731707
Petr Fiala,ODS,126,14,19,20,0.0782122905027933
Petr Gazdík,STAN,25,2,6,5,0.05263157894736842
Petr Mach,Svobodní,38,8,10,3,0.13559322033898305
Petr Nečas,ODS,121,18,9,24,0.10465116279069768
Přemysl Sobotka,ODS,26,5,5,6,0.11904761904761904
Radek John,VV,27,4,3,9,0.09302325581395349
Robert Fico,,13,1,0,1,0.06666666666666667
Robert Pelikán,ANO 2011,33,1,3,6,0.023255813953488372
Soňa Marková,KSČM,13,4,0,3,0.2
Stanislav Mackovík,KSČM,7,2,5,3,0.11764705882352941
Stanislav Polčák,STAN,29,3,0,3,0.08571428571428572
Svatopluk Němeček,ČSSD,16,2,3,1,0.09090909090909091
Tomio Okamura,SPD,102,62,46,26,0.2627118644067797
Tomáš Hudeček,TOP 09,14,4,2,3,0.17391304347826086
Táňa Fischerová,,18,1,2,3,0.041666666666666664
Vladimir Putin,Nez.,11,5,7,6,0.1724137931034483
Vladimír Dlouhý,,17,0,1,2,0.0
Vladimír Franz,,16,3,2,4,0.12
Vojtěch Filip,KSČM,80,34,26,15,0.21935483870967742
Vratislav Mynář,SPO,11,2,0,2,0.13333333333333333
Václav Moravec,Nez.,24,0,1,1,0.0
Vít Bárta,VV,22,12,7,12,0.22641509433962265
Zbyněk Stanjura,ODS,57,5,2,4,0.07352941176470588
Zdeněk Škromach,ČSSD,40,10,10,5,0.15384615384615385
Zdeněk Žák,Nez.,17,5,5,13,0.125
Zuzana Roithová,KDU-ČSL,43,6,6,18,0.0821917808219178
